Rank,Country,Documents,Citable documents,Citations,Self-Citations,Citations per Document,H index
1,China,80685,0,286809,179188,11.22,150
2,United States,65565,0,1063805,339426,23.22,345
3,Japan,27049,0,139799,45035,8.44,116
4,United Kingdom,22460,0,266440,55920,18,174
5,Germany,17364,0,146713,30620,14.99,142
6,France,15538,0,134687,33194,12.88,122
7,Spain,14475,0,115122,33712,14.01,105
8,Taiwan,13109,0,133917,34180,15.28,115
9,Italy,13069,0,102045,26653,12.17,106
10,Canada,12677,0,163333,23491,19.83,138
11,India,12550,0,48898,11856,11.72,79
12,South Korea,12451,0,71425,12319,10.06,88
13,Australia,10562,0,83603,13421,13.98,104
14,Netherlands,6314,0,78504,12344,21.61,107
15,Brazil,5846,0,24366,6086,8.82,61
16,Hong Kong,5335,0,79081,9163,18.13,109
17,Iran,5156,0,23158,7402,9.4,57
18,Singapore,5080,0,57098,7634,17.53,91
19,Poland,4780,0,30558,9548,14.59,64
20,Greece,3972,0,29228,4800,11.43,66
21,Turkey,3886,0,39545,7638,15.45,72
22,Malaysia,3721,0,9253,2546,7.58,36
23,Belgium,3548,0,49692,6439,21.88,83
24,Switzerland,3541,0,44836,5245,20.25,93
25,Mexico,3344,0,14048,3541,9.07,47
26,Portugal,3344,0,17072,3112,11.23,55
27,Israel,3273,0,62933,6862,27.25,101
28,Romania,3268,0,5984,1945,5.7,30
29,Sweden,3124,0,22202,3216,12.76,57
30,Czech Republic,3090,0,16018,4328,8.39,50
31,Austria,3018,0,20716,3760,13.37,58
32,Finland,2817,0,40773,4366,27.24,75
33,Hungary,2243,0,9144,2087,10.29,43
34,Denmark,1690,0,8740,1347,9.89,41
35,Ireland,1671,0,9136,1120,10.62,41
36,New Zealand,1582,0,11569,1485,12.4,47
37,Russian Federation,1498,0,4755,1008,4.77,31
38,Thailand,1422,0,4246,737,7.44,26
39,Slovakia,1379,0,6308,1931,8.38,36
40,Norway,1368,0,8693,881,15.13,39
41,Egypt,1160,0,5405,695,8.09,31
42,Slovenia,1141,0,10935,1877,11.45,44
43,Saudi Arabia,1100,0,3157,512,5.9,23
44,South Africa,1056,0,3744,509,9.56,27
45,Serbia,936,0,1965,758,2.53,19
46,Pakistan,892,0,2152,490,8.47,19
47,Tunisia,837,0,2378,769,5.82,23
48,Algeria,835,0,3137,494,11.98,25
49,Bulgaria,814,0,2172,281,8.89,20
50,Colombia,747,0,1744,220,5.62,16
51,Chile,711,0,3834,761,8.75,31
52,Argentina,708,0,3210,616,6.77,24
53,Viet Nam,677,0,1218,311,5.32,16
54,Ukraine,593,0,800,275,4.85,13
55,United Arab Emirates,546,0,1776,206,4.22,19
56,Croatia,534,0,1948,314,14.62,16
57,Lithuania,475,0,1979,575,18.04,22
58,Jordan,471,0,1689,255,5.61,18
59,Indonesia,421,0,648,96,3.12,11
60,Morocco,384,0,1292,157,12.05,19
61,Cyprus,346,0,1643,189,8.31,20
62,Estonia,341,0,567,245,4.33,11
63,Venezuela,332,0,1268,179,7.19,16
64,Latvia,328,0,332,200,1.89,9
65,Luxembourg,293,0,839,202,5.39,15
66,Macao,269,0,493,87,5.09,11
67,Lebanon,255,0,1228,101,12.61,16
68,Bangladesh,247,0,523,50,3,11
69,Cuba,220,0,930,186,8.25,15
70,Qatar,204,0,650,80,5.58,11
71,Kuwait,199,0,1699,88,12.78,18
72,Azerbaijan,198,0,486,59,9.17,12
73,Belarus,161,0,755,85,5.81,14
74,Sri Lanka,161,0,229,22,5.98,8
75,Macedonia,144,0,506,44,5.96,11
76,Iceland,139,0,1496,163,15.1,18
77,Oman,139,0,723,39,9.59,12
78,Iraq,116,0,82,11,1.13,4
79,Nigeria,106,0,82,14,1.02,5
80,Philippines,97,0,256,23,6.43,7
81,Bosnia and Herzegovina,94,0,180,8,3.29,7
82,Bahrain,65,0,94,9,1.94,6
83,Malta,62,0,265,18,13.5,8
84,Costa Rica,60,0,35,6,0.93,2
85,Uruguay,57,0,375,33,9.11,9
86,Kazakhstan,56,0,62,39,3.81,4
87,Georgia,55,0,179,61,4.75,7
88,Peru,55,0,23,4,0.58,2
89,Albania,50,0,39,4,1.18,3
90,North Korea,50,0,1147,1,37.34,12
91,Palestine,47,0,172,5,8.13,6
92,Trinidad and Tobago,45,0,137,10,3.65,7
93,Ecuador,40,0,367,4,43.27,3
94,Libyan Arab Jamahiriya,39,0,39,5,1.01,3
95,Puerto Rico,38,0,100,2,2.91,5
96,Cameroon,31,0,140,28,3.95,6
97,Fiji,31,0,132,29,5.98,7
98,Paraguay,31,0,63,6,1.49,3
99,Nepal,30,0,1,0,0.04,1
100,Syrian Arab Republic,29,0,167,1,11.85,5
101,Brunei Darussalam,28,0,57,7,1.91,4
102,Panama,28,0,40,2,2.93,4
103,Uganda,28,0,80,2,2.86,4
104,Kenya,27,0,23,0,2.48,1
105,Ghana,25,0,33,2,1,3
106,Mongolia,22,0,5,0,0.19,1
107,Senegal,22,0,25,1,1.21,2
108,Ethiopia,20,0,16,2,0.85,2
109,Sudan,20,0,57,0,4.87,3
110,Armenia,19,0,38,4,3.22,4
111,Jamaica,19,0,133,13,7.77,6
112,Myanmar,19,0,7,0,0.28,2
113,Yemen,19,0,70,2,4.37,5
114,Namibia,17,0,16,1,1.24,3
115,Moldova,16,0,15,6,0.88,3
116,Mauritius,13,0,25,0,1.97,4
117,Botswana,12,0,24,0,2.56,3
118,Montenegro,11,0,3,3,0.17,1
119,Rwanda,11,0,21,0,2.9,2
120,Uzbekistan,10,0,5,0,1.25,1
121,Liechtenstein,8,0,108,0,11.44,4
122,Bolivia,7,0,5,0,0.75,2
123,Tanzania,7,0,4,0,0.33,1
124,Zimbabwe,7,0,30,0,3.88,2
125,Burkina Faso,6,0,27,5,5.25,3
126,Madagascar,6,0,3,2,0.58,1
127,Benin,5,0,3,0,0.75,1
128,Bhutan,5,0,14,1,2.5,2
129,Guatemala,5,0,0,0,0,0
130,New Caledonia,5,0,8,0,2,2
131,Barbados,4,0,10,2,2.5,2
132,Guadeloupe,4,0,1,1,0.17,1
133,Kyrgyzstan,4,0,0,0,0,0
134,El Salvador,4,0,29,0,8.5,2
135,Zambia,4,0,0,0,0,0
136,Afghanistan,3,0,0,0,0,0
137,Honduras,3,0,22,1,7.33,2
138,Martinique,3,0,3,0,1,1
139,Malawi,3,0,1,0,0.33,1
140,Papua New Guinea,3,0,7,0,2.33,1
141,C�te d'Ivoire,2,0,3,0,1.5,1
142,Dominica,2,0,24,6,12,2
143,Dominican Republic,2,0,0,0,0,0
144,Faroe Islands,2,0,2,0,1,1
145,Gabon,2,0,1,0,0.5,1
146,French Guiana,2,0,3,0,1.5,1
147,Guam,2,0,0,0,0,0
148,Laos,2,0,0,0,0,0
149,Monaco,2,0,0,0,0,0
150,Maldives,2,0,1,0,0.5,1
151,Mozambique,2,0,0,0,0,0
152,French Polynesia,2,0,1,0,0.5,1
153,San Marino,2,0,0,0,0,0
154,Swaziland,2,0,1,0,0.5,1
155,Chad,2,0,4,0,2,2
156,Andorra,1,0,0,0,0,0
157,Bahamas,1,0,2,0,2,1
158,Belize,1,0,8,0,8,1
159,Democratic Republic Congo,1,0,97,0,97,1
160,Christmas Island,1,0,0,0,0,0
161,Grenada,1,0,0,0,0,0
162,Guyana,1,0,0,0,0,0
163,Ha�ti,1,0,0,0,0,0
164,British Indian Ocean Territory,1,0,0,0,0,0
165,Cambodia,1,0,11,0,11,1
166,Niger,1,0,2,0,2,1
167,Reunion,1,0,0,0,0,0
168,Tajikistan,1,0,0,0,0,0
169,Turkmenistan,1,0,19,8,19,1
170,United States Minor Outlying Islands,1,0,0,0,0,0
171,Vanuatu,1,0,0,0,0,0
