Rank,Country,Documents,Citable documents,Citations,Self-Citations,Citations per Document,H index
1,United States,8626193,7876234,177434935,83777658,23.36,1648
2,China,3617355,3569652,19110353,10462121,7.44,495
3,United Kingdom,2397817,2103145,44011201,10321539,21.03,1015
4,Germany,2176860,2045433,35721869,9141181,18.5,887
5,Japan,2074872,2008410,27040067,7619559,13.79,745
6,France,1555629,1468286,24700140,5516943,17.95,811
7,Canada,1227380,1134588,22152666,4136384,21.4,794
8,Italy,1200448,1117013,18019464,4186908,17.52,713
9,India,998544,944632,6989150,2409025,9.61,383
10,Spain,952099,884670,12628097,3068362,16.14,591
11,Australia,890458,809027,13772961,2947945,19.49,644
12,South Korea,739229,719338,7063429,1528443,12.38,424
13,Russian Federation,701029,689095,4289618,1273073,6.5,390
14,Netherlands,681804,628678,14278721,2321446,24.56,694
15,Brazil,598234,573988,5036027,1699530,11.73,379
16,Switzerland,493857,460824,10872269,1458098,26.1,686
17,Taiwan,491560,477442,4790230,1075153,12.17,331
18,Sweden,460607,433674,9417604,1448940,23.21,614
19,Poland,431016,418917,3491958,901545,9.57,371
20,Turkey,390874,368197,2938841,737423,9.79,266
21,Belgium,372093,348017,6691791,948874,21.01,547
22,Iran,287010,278388,1504541,573856,9.83,180
23,Israel,272352,255036,5079652,694959,20.56,496
24,Austria,268472,250181,4334382,583299,19.24,449
25,Denmark,263026,245115,5494671,779833,24.94,518
26,Finland,234846,223366,4295721,666893,21.2,443
27,Greece,224897,209043,2702414,444424,14.36,326
28,Czech Republic,213209,206738,1867611,440161,10.74,294
29,Mexico,210387,201540,1962572,408914,11.69,289
30,Norway,206965,190800,3354827,530420,20.17,402
31,Hong Kong,200580,189621,2951215,393784,16.87,359
32,Singapore,192942,182169,2561645,331822,15.78,349
33,Portugal,189052,179134,2096242,407892,15.17,297
34,South Africa,167440,154857,1774278,386014,13.41,292
35,New Zealand,163559,149301,2495935,380280,18.52,351
36,Malaysia,153378,148844,670387,183198,9.41,165
37,Argentina,145416,138788,1681700,354132,13.49,273
38,Hungary,136034,130299,1660840,264809,13.6,301
39,Ireland,135843,123585,1999703,233733,19.01,332
40,Ukraine,133650,131490,635570,176428,5.03,174
41,Romania,125576,122884,619956,153395,7.24,167
42,Egypt,120493,117104,818728,162544,9.19,165
43,Thailand,109832,104982,976328,162255,13,213
44,Saudi Arabia,91460,87643,547167,89352,8.95,164
45,Chile,90216,86521,1014687,193534,15.38,233
46,Pakistan,81612,78219,425467,118262,7.59,148
47,Slovakia,72847,70964,561511,113733,9.07,180
48,Croatia,72110,69675,459356,97694,7.53,177
49,Slovenia,64483,62170,611672,115616,11.31,189
50,Bulgaria,54894,53485,455406,73045,9.15,167
51,Nigeria,53298,51223,272400,61408,7.48,115
52,Tunisia,51590,49230,276247,60183,7.99,109
53,Colombia,51579,49345,376696,57524,12.38,169
54,Serbia,45000,43151,188381,47922,5.33,100
55,Algeria,36490,35871,174096,34065,7.66,97
56,Morocco,35962,34027,235287,43346,8.52,117
57,Indonesia,32355,30770,230610,26258,12.72,140
58,Lithuania,32137,31399,227339,51689,9.7,133
59,Venezuela,31764,30656,280926,36788,9.71,155
60,Cuba,29514,28387,173646,35090,6.76,115
61,Belarus,28941,28543,175290,32229,6.17,122
62,Bangladesh,26924,25901,184202,35455,10.09,124
63,United Arab Emirates,26690,25166,166455,17582,9.13,112
64,Jordan,25514,24845,167105,21438,8.74,102
65,Estonia,25458,24479,313735,55005,15.83,162
66,Viet Nam,24473,23559,204089,29994,13.84,133
67,Kenya,21811,20150,315176,49200,18.18,165
68,Lebanon,18218,16817,151940,15122,11.56,122
69,Philippines,17783,16507,219804,22832,16.41,147
70,Kuwait,16848,16230,134541,16324,9.2,100
71,Cyprus,14766,13689,137506,16629,15.03,113
72,Latvia,14403,14024,99502,14907,9.48,104
73,Iceland,13937,12907,296796,27823,27.54,198
74,Puerto Rico,13060,12606,213031,14404,18.12,156
75,Peru,12367,11418,155938,16849,17.88,140
76,Uruguay,12307,11714,156923,21931,16.57,124
77,Armenia,11741,11444,113464,19563,10.61,126
78,Ethiopia,11381,10866,95145,19804,12.49,88
79,Oman,11139,10434,70272,8474,8.71,83
80,Sri Lanka,10989,10222,96953,9297,11.87,107
81,Luxembourg,10527,9823,92832,9604,14.93,105
82,Tanzania,10516,9866,140878,21812,17.24,113
83,Qatar,10287,9708,49372,6021,7.39,70
84,Uganda,10092,9317,138405,22467,19.46,118
85,Cameroon,9874,9397,90309,17812,12.3,85
86,Georgia,9821,9189,84885,11681,9.65,101
87,Ghana,9721,9073,86854,10608,12.74,92
88,Kazakhstan,9652,9434,32739,5393,5.42,64
89,Iraq,9555,9097,28608,3624,5.95,51
90,Azerbaijan,9048,8877,32404,6607,3.85,58
91,Uzbekistan,8719,8542,40774,7655,4.81,64
92,Costa Rica,8224,7812,126316,13189,18.45,127
93,Nepal,8044,7279,67738,8457,11.78,87
94,Macedonia,7506,7248,44711,5259,7.87,74
95,Zimbabwe,6522,6147,80239,8237,13.35,90
96,Senegal,6424,6038,64136,8101,12.46,89
97,Ecuador,6371,5984,79541,9624,17.15,100
98,Bosnia and Herzegovina,6133,5896,23851,3291,7.54,55
99,Moldova,5506,5417,40322,7375,7.84,74
100,Sudan,5379,5168,40208,5069,11.07,65
101,Syrian Arab Republic,5151,4916,44354,5266,11.86,74
102,Trinidad and Tobago,4666,4279,37558,2995,9.94,72
103,Panama,4573,4310,112967,11103,35.55,128
104,Botswana,4511,4167,42698,4449,11.15,71
105,C�te d'Ivoire,4403,4228,45006,4816,12.29,82
106,Malawi,4385,4030,64154,8502,19.11,97
107,Jamaica,4338,3911,41071,4459,11.44,71
108,Burkina Faso,4256,4086,47871,7253,14.26,77
109,Bahrain,4180,3856,20118,2091,6.12,48
110,Macao,4143,3961,16887,2314,7.26,47
111,Palestine,3942,3729,23425,3178,9.05,53
112,Malta,3801,3438,33239,2592,14.29,75
113,Libyan Arab Jamahiriya,3730,3611,15111,918,6.13,45
114,Zambia,3495,3220,46959,5211,16.37,83
115,Benin,3385,3249,28919,5218,11.92,59
116,Bolivia,3236,3084,49509,4296,17.84,78
117,Mongolia,2963,2850,27013,3023,15.57,65
118,Madagascar,2878,2761,32939,4977,14.02,68
119,Congo,2872,2671,26800,2680,12.62,63
